"oblast","EDRPOU","NAME","KVED","church_EDRPOU","church_NAME","BOSS","church_BOSS","ADDRESS","church_ADDRESS","freq","FOUNDERS","KVED_freq","KVED_freq_inRegion","KVED_section"
"Автономна Республіка Крим","20751932","ПРИВАТНЕ ПІДПРИЄМСТВО ЛІНКОР","46.73 Оптова торгівля деревиною, будівельними матеріалами та санітарно-технічним обладнанням",37579693,"ПАРАФІЯ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ СВЯТОГО МИКОЛИ ЧУДОТВОРЦЯ""","ПОПОВ СЕРГІЙ АНАТОЛІЙОВИЧ","ПОПОВ СЕРГІЙ АНАТОЛІЙОВИЧ","98330; Автономна Республіка Крим- місто Керч, ВУЛИЦЯ БУДЬОНОГО, будинок 33, квартира 136","96143; Автономна Республіка Крим- Джанкойський район, село Маслове, ВУЛИЦЯ ЦІОЛКОВСЬКОГО, будинок 10",4,"ПОПОВ СЕРГІЙ ВОЛОДИМИРОВИЧ, розмір внеску до статутного фонду - 10.00 грн.",63,6,"Торгівля"
"Автономна Республіка Крим","39050148","ГРОМАДСЬКА СПІЛКА КРИМСЬКА РЕСПУБЛІКАНСЬКА АСОЦІАЦІЯ ПІДПРИЄМЦІВ-ІНВАЛІДІВ","94.99 Діяльність інших громадських організацій, н. в. і. у.",33980205,"СВЯТИТЕЛЯ ЛУКИ КРИМСЬКОГО ПРИХІД (ГРОМАДА) СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","95000; Автономна Республіка Крим- місто Сімферополь, Залізничний район, ВУЛИЦЯ ГОГОЛЯ , будинок 68, квартира 40","95007; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛ. ЛЕСКОВА, будинок 66, квартира 23",8,"КРИМСЬКА РЕСПУБЛІКАНСЬКА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ІНВАЛІДІВ ""БЕРЕГ"", розмір внеску до статутного фонду - 0.00 грн.||СІМФЕРОПОЛЬСЬКА МІСЬКА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКОГО ОБ'ЄДНАННЯ ІНВАЛІДІВ ""СОЮЗ ОРГАНІЗАЦІЙ ІНВАЛІДІВ УКРАЇНИ"", розмір внеску до статутного фонду - 0.00 грн.",140,6,"Діяльність громадських організацій"
"Автономна Республіка Крим","36165698","ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) ОБ'ЄДНАННЯ ГРОМАДЯН УПРАВЛІННЯ КАПІТАЛЬНОГО БУДІВНИЦТВА КРИМСЬКОГО РЕСПУБЛІКАНСЬКОГО ОБ'ЄДНАННЯ ІНВАЛІДНИХ ОРГАНІЗАЦІЙ СОЮЗ ОРГАНІЗАЦІЙ ІНВАЛІДІВ УКРАЇНИ","41.20 Будівництво житлових і нежитлових будівель",33980205,"СВЯТИТЕЛЯ ЛУКИ КРИМСЬКОГО ПРИХІД (ГРОМАДА) СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","95051; Автономна Республіка Крим- місто Сімферополь, Залізничний район, ВУЛИЦЯ ГОГОЛЯ, будинок 68, квартира 40","95007; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛ. ЛЕСКОВА, будинок 66, квартира 23",8,"КРИМСЬКЕ РЕСПУБЛІКАНСЬКЕ ОБ'ЄДНАННЯ ІНВАЛІДНИХ ОРГАНІЗАЦІЙ ВСЕУКРАЇНСЬКОЇ ОРГАНІЗАЦІЇ ІНВАЛІДІВ ""СОЮЗ ОРГАНІЗАЦІЙ ІНВАЛІДІВ УКРАЇНИ"", розмір внеску до статутного фонду - 0.00 грн.||СІМФЕРОПОЛЬСЬКА МІСЬКА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКОГО ОБ'ЄДНАННЯ ІНВАЛІДІВ ""СОЮЗ ОРГАНІЗАЦІЙ ІНВАЛІДІВ УКРАЇНИ""",27,3,"Будівництво"
"Автономна Республіка Крим","35593543","СІМФЕРОПОЛЬСЬКА МІСЬКА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКОГО ОБ'ЄДНАННЯ ІНВАЛІДІВ СОЮЗ ОРГАНІЗАЦІЙ ІНВАЛІДІВ УКРАЇНИ","91.33.0 ДІЯЛЬНІСТЬ ГРОМАДСЬКИХ ОРГАНІЗАЦІЙ, Н. В. І. Г.",33980205,"СВЯТИТЕЛЯ ЛУКИ КРИМСЬКОГО ПРИХІД (ГРОМАДА) СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","95051; Автономна Республіка Крим- місто Сімферополь, Залізничний район, ВУЛИЦЯ ГОГОЛЯ, будинок 68, квартира 40","95007; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛ. ЛЕСКОВА, будинок 66, квартира 23",8,"ЗАГАЛЬНІ ЗБОРИ ПРОТОКОЛ 1 ВІД 11.04.2007Р., розмір внеску до статутного фонду - 0.00 грн.",140,6,"Діяльність громадських організацій"
"Автономна Республіка Крим","33581604","ОБСЛУГОВУЮЧИЙ КООПЕРАТИВ ОБСЛУГОВУЮЧИЙ КООПЕРАТИВ У МОРЯ","68.32 Управління нерухомим майном за винагороду або на основі контракту",33980205,"СВЯТИТЕЛЯ ЛУКИ КРИМСЬКОГО ПРИХІД (ГРОМАДА) СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","95051; Автономна Республіка Крим- місто Сімферополь, Центральний район, ВУЛ. ГОГОЛЯ, будинок 68, квартира 40","95007; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛ. ЛЕСКОВА, будинок 66, квартира 23",8,"ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ, розмір внеску до статутного фонду - 0.00 грн.||РИБАЛЬЧЕНКО АНАТОЛІЙ ПЕТРОВИЧ, розмір внеску до статутного фонду - 0.00 грн.||СТРЕКАЛОВСЬКА ОЛЕНА ЄВГЕНІЇВНА, розмір внеску до статутного фонду - 0.00 грн.||РЕЗОНОВ АНДРІЙ ВАДИМОВИЧ, розмір внеску до статутного фонду - 0.00 грн.",29,2,"Нерухомість"
"Автономна Республіка Крим","35174319","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ПОЛЮС - КРИМ ІНВЕСТ КУРОРТ СТРОЙ","41.20 Будівництво житлових і нежитлових будівель",33980205,"СВЯТИТЕЛЯ ЛУКИ КРИМСЬКОГО ПРИХІД (ГРОМАДА) СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","95006; Автономна Республіка Крим- місто Сімферополь, Залізничний район, ВУЛИЦЯ РОЗИ ЛЮКСЕМБУРГ, будинок 34, квартира 18","95007; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛ. ЛЕСКОВА, будинок 66, квартира 23",8,"ХАСАНОВ ОЛЕКСІЙ ІЛЬДУСОВИЧ, розмір внеску до статутного фонду - 15750.00 грн.||ЗЄМЄРОВ СЕРГІЙ ОЛЕКСАНДРОВИЧ, розмір внеску до статутного фонду - 10500.00 грн.||АРХИПОВА СВІТЛАНА ВІКТОРІВНА, розмір внеску до статутного фонду - 15750.00 грн.",27,3,"Будівництво"
"Автономна Республіка Крим","35408765","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ МАРИНАГАЗІНВЕСТ","41.20 Будівництво житлових і нежитлових будівель",33980205,"СВЯТИТЕЛЯ ЛУКИ КРИМСЬКОГО ПРИХІД (ГРОМАДА) СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","95013; Автономна Республіка Крим- місто Сімферополь, Центральний район, ВУЛИЦЯ СЕВАСТОПОЛЬСЬКА, будинок 45, офіс 401","95007; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛ. ЛЕСКОВА, будинок 66, квартира 23",8,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДІВІКА"", розмір внеску до статутного фонду - 44000.00 грн.",27,3,"Будівництво"
"Автономна Республіка Крим","16508663","ПІДПРИЄМСТВО ІВАН","51.70.0 ІНШІ ВИДИ ОПТОВОЇ ТОРГІВЛІ",33980205,"СВЯТИТЕЛЯ ЛУКИ КРИМСЬКОГО ПРИХІД (ГРОМАДА) СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ","95007; ВУЛ. ЛЕСКОВА- Б.66, К.23, М.СІМФЕРОПОЛЬ, АР КРИМ, УКРАЇНА","95007; Автономна Республіка Крим- місто Сімферополь, Київський район, ВУЛ. ЛЕСКОВА, будинок 66, квартира 23",8,"ПЛОХОТНІЧЕНКО ІВАН ВОЛОДИМИРОВИЧ, розмір внеску до статутного фонду - 0.00 грн.",63,6,"Торгівля"
"Автономна Республіка Крим","34719279","ПРИВАТНЕ ПІДПРИЄМСТВО КРИМІНВЕСТХОЛДІНГ","55.90 Діяльність інших засобів тимчасового розміщування",34193147,"РЕЛІГІЙНА ГРОМАДА (ПАРАФІЯ) СВЯТОГО ПРАВЕДНОГО ВОЇНА ФЕОДОРА УШАКОВА"" СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ТУШЕВ ОЛЕКСІЙ ДМИТРОВИЧ","ТУШЕВ ОЛЕКСІЙ ДМИТРОВИЧ","96500; Автономна Республіка Крим- місто Саки, ВУЛИЦЯ ЛЕНІНА, будинок 56, квартира 5","96574; Автономна Республіка Крим- Сакський район, селище міського типу Новофедорівка, ВУЛИЦЯ СЕВАСТОПОЛЬСЬКА, будинок 2, квартира 36",2,"КУЗНЕЦОВ ІЛЛЯ В'ЯЧЕСЛАВОВИЧ, розмір внеску до статутного фонду - 450.00 грн.||ТУШЕВ ОЛЕКСІЙ ДМИТРОВИЧ, розмір внеску до статутного фонду - 150.00 грн.||ЛІТОВЧЕНКО ГЕННАДІЙ ІВАНОВИЧ, розмір внеску до статутного фонду - 450.00 грн.||ДУНАЄВ СЕРГІЙ ВОЛОДИМИРОВИЧ, розмір внеску до статутного фонду - 450.00 грн.",49,1,"Інше"
"Автономна Республіка Крим","24409900","ГРОМАДСЬКА ОРГАНІЗАЦІЯ СПОРТИВНИЙ КЛУБ ХАРАКС","94.99 Діяльність інших громадських організацій, н. в. і. у.",34058839,"СВЯТО-МИКОЛАЇВСЬКА ОБЩИНА УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ІВАНОВ СЕРГІЙ ОЛЕКСАНДРОВИЧ","ІВАНОВ СЕРГІЙ ОЛЕКСАНДРОВИЧ","98660; Автономна Республіка Крим- місто Ялта, селище міського типу Гаспра, ВУЛИЦЯ АЛУПКИНСЬКЕ ШОСЕ, будинок 48 А, квартира 22","97630; Автономна Республіка Крим- Білогірський район, селище міського типу Зуя, ВУЛИЦЯ ШОСЕЙНА, будинок 83",2,"фізичні особи, розмір внеску до статутного фонду - 0.00 грн.",140,6,"Діяльність громадських організацій"
"Автономна Республіка Крим","33196943","ПРИВАТНЕ ПІДПРИЄМСТВО СУПУТНИК-85","46.90 Неспеціалізована оптова торгівля",24496543,"ГРОМАДА МИТРОФАНА ВОРОНЕЖСЬКОГО УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ІВАНОВ ЄВГЕН ОЛЕКСІЙОВИЧ","ІВАНОВ ЄВГЕН ОЛЕКСІЙОВИЧ","99055; м.Севастополь- Ленінський район, ВУЛ.ГЕН.ЛЕБЕДЯ, будинок 20, квартира 80","97133; Автономна Республіка Крим- Нижньогірський район, село Митрофанівка, ВУЛИЦЯ 50 РОКІВ ЖОВТНЯ, будинок № 54-А",3,"ІВАНОВ ЄВГЕН ОЛЕКСІЙОВИЧ, розмір внеску до статутного фонду - 500.00 грн.",63,6,"Торгівля"
"Автономна Республіка Крим","34781902","СУСПІЛЬНЕ ОБ'ЄДНАННЯ КОЗАЦЬКА ГРОМАДА МАЛИЙ МАЯК АЙ-ТОДОР","94.99 Діяльність інших громадських організацій, н. в. і. у.",35861449,"ПРИХІД ФЕОДОРА СТРАТІЛАТА СІМФЕРОПОЛЬСЬКОЇ ТА КРИМСЬКОЇ ЄПАРХІЇ УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВИ","ІВАЩЕНКО ОЛЕКСАНДР МИКОЛАЙОВИЧ","ІВАЩЕНКО ОЛЕКСАНДР МИКОЛАЙОВИЧ","98540; Автономна Республіка Крим- місто Алушта, село Малий Маяк, ВУЛИЦЯ ЮЖНОБЕРЕЖНА, будинок 3","98540; Автономна Республіка Крим- місто Алушта, село Малий Маяк, ВУЛИЦЯ ЮЖНОБЕРЕЖНА, будинок 3",2,"4 фізичні особи, розмір внеску до статутного фонду - 0.00 грн.",140,6,"Діяльність громадських організацій"
"Вінницька обл.","35599807","ГРОМАДСЬКА ОРГАНІЗАЦІЯ РУСЬКИЙ ПРАВОСЛАВНИЙ ЦЕНТР ПО ВИВЧЕННЮ КУЛЬТУРИ СВЯТИЙ ГЕОРГІЙ""","94.99 Діяльність інших громадських організацій, н. в. і. у.",33323224,"РЕЛІГІЙНА ГРОМАДА ІКОНИ ПРЕСВЯТОЇ БОГОРОДИЦІ СКОРОПОСЛУШНИЦІ"" УКРАЇНСЬКОЇ ПРАВОСЛАВНОЇ ЦЕРКВІ","ЛАВРЕНЕНКО ІЛЛЯ АНАТОЛІЙОВИЧ","ЛАВРЕНЕНКО ІЛЛЯ АНАТОЛІЙОВИЧ","21000; Вінницька обл.- місто Вінниця, ВУЛИЦЯ СТЕЛЬМАХА, будинок 47, квартира 25","21000; Вінницька обл.- місто Вінниця, ВУЛИЦЯ СТЕЛЬМАХА, будинок 47, квартира 25",2,"КОВАЛЬОВ ВАЛЕРІЙ ЮРІЙОВИЧ, розмір внеску до статутного фонду - 0.00 грн.||ПОЗДНЯКОВ МИКОЛА МИКОЛАЙОВИЧ, розмір внеску до статутного фонду - 0.00 грн.||ПАСЮК БОРИС АНАТОЛІЙОВИЧ, розмір внеску до статутного фонду - 0.00 грн.",140,8,"Діяльність громадських організацій"
